"","Pathway_ID","Pathway_Name","Compound_ID","Metabolism_Name"
"hsa00100","hsa00100","Steroid biosynthesis - Homo sapiens (human)","C00187;C00448;C00751;C01054;C01164;C01189;C01561;C01673;C01694;C01724;C01753;C01789;C01802;C01902;C01943;C02141;C02530;C03428;C03845;C04525;C05103;C05107;C05108;C05109;C05437;C05439;C05440;C05441;C05442;C05443;C07712;C08813;C08821;C08830;C11455;C11508;C11522;C11523;C15776;C15777;C15780;C15781;C15782;C15783;C15808;C15816;C15915;C18231;C21106;C22112;C22116;C22119;C22120;C22121;C22122;C22123;C22136","Cholesterol;trans,trans-Farnesyl diphosphate;Squalene;(S)-2,3-Epoxysqualene;7-Dehydrocholesterol;Lathosterol;Calcidiol;Calcitriol;Ergosterol;Lanosterol;beta-Sitosterol;Campesterol;Desmosterol;Cycloartenol;Obtusifoliol;Cycloeucalenol;Cholesterol ester;Presqualene diphosphate;5alpha-Cholest-8-en-3beta-ol;Fecosterol;4alpha-Methylzymosterol;7-Dehydrodesmosterol;14-Demethyllanosterol;24,25-Dihydrolanosterol;Zymosterol;5alpha-Cholesta-7,24-dien-3beta-ol;Ergosta-5,7,22,24(28)-tetraen-3beta-ol;Vitamin D2;Stigmasterol;Vitamin D3;Secalciferol;Brassicasterol;Isofucosterol;24-Methylidenecycloartanol;4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol;4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol;24-Methylenelophenol;24-Ethylidenelophenol;4alpha-Methylfecosterol;Episterol;5-Dehydroepisterol;24-Methylenecholesterol;Delta7-Avenasterol;5-Dehydroavenasterol;4alpha-Methylzymosterol-4-carboxylate;3-Keto-4-methylzymosterol;4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol;Calcitetrol;24-epi-Campesterol;4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol;3beta-Hydroxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-4alpha-carboxylate;3beta-Hydroxyergosta-7,24(24(1))-dien-4alpha-carboxylate;4alpha-Carboxy-stigmasta-7,24(24(1))-dien-3beta-ol;Cycloeucalenone;Episterone;Avenastenone;Zymosterone"
"hsa00120","hsa00120","Primary bile acid biosynthesis - Homo sapiens (human)","C00037;C00187;C00245;C00695;C01301;C01794;C01921;C02528;C03594;C04554;C04722;C05122;C05337;C05444;C05445;C05446;C05447;C05448;C05449;C05451;C05452;C05453;C05454;C05455;C05460;C05465;C05466;C05467;C05468;C06341;C13550;C15518;C15519;C15520;C15610;C15613;C15614;C17331;C17332;C17333;C17335;C17336;C17337;C17339;C17343;C17345;C17346","Glycine;Cholesterol;Taurine;Cholic acid;3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al;Choloyl-CoA;Glycocholate;Chenodeoxycholate;7alpha-Hydroxycholesterol;3alpha,7alpha-Dihydroxy-5beta-cholestanate;3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate;Taurocholate;Chenodeoxycholoyl-CoA;3alpha,7alpha,26-Trihydroxy-5beta-cholestane;3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al;3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane;(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA;(24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA;3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA;7alpha-Hydroxy-5beta-cholestan-3-one;3alpha,7alpha-Dihydroxy-5beta-cholestane;7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one;3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane;7alpha-Hydroxycholest-4-en-3-one;(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA;Taurochenodeoxycholate;Glycochenodeoxycholate;3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA;5beta-Cyprinolsulfate;7alpha,27-Dihydroxycholesterol;Cerebrosterol;(24S)-Cholest-5-ene-3beta,7alpha,24-triol;25-Hydroxycholesterol;Cholest-5-ene-3beta,7alpha,25-triol;Cholest-5-ene-3beta,26-diol;(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA;(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA;7alpha,24-Dihydroxy-4-cholesten-3-one;7alpha,25-Dihydroxy-4-cholesten-3-one;3beta-Hydroxy-5-cholestenoate;3beta,7alpha-Dihydroxy-5-cholestenoate;7alpha,26-Dihydroxy-4-cholesten-3-one;7alpha-Hydroxy-3-oxo-4-cholestenoate;4-Cholesten-7alpha,12alpha-diol-3-one;(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA;(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA;(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA"
"hsa00130","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)","C00082;C00156;C00223;C00251;C00341;C00353;C00390;C00423;C00544;C00811;C00828;C00885;C01179;C02059;C02477;C02483;C02730;C02949;C03160;C03313;C03657;C03964;C03993;C04145;C05427;C05807;C05817;C05819;C05847;C05848;C05849;C06986;C10793;C13309;C14151;C14152;C14153;C14154;C14155;C14156;C15547;C15882;C15883;C16519;C16695;C16999;C17010;C17017;C17018;C17412;C17551;C17552;C17554;C17559;C17570;C18131;C18132;C18133;C18134;C18135;C19847;C19858;C19859;C20265;C20737;C20738;C20772;C20773;C21084;C21860;C22039","L-Tyrosine;4-Hydroxybenzoate;p-Coumaroyl-CoA;Chorismate;Geranyl diphosphate;Geranylgeranyl diphosphate;Ubiquinol;trans-Cinnamate;Homogentisate;4-Coumarate;Menaquinone;Isochorismate;3-(4-Hydroxyphenyl)pyruvate;Phylloquinone;alpha-Tocopherol;gamma-Tocopherol;2-Succinylbenzoate;4-Hydroxybenzoyl-CoA;2-Succinylbenzoyl-CoA;Phylloquinol;1,4-Dihydroxy-2-naphthoate;(R)-3-(4-Hydroxyphenyl)lactate;4-(beta-D-Glucosyloxy)benzoate;all-trans-Nonaprenyl diphosphate;Phytyl diphosphate;2-Polyprenylphenol;(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate;Menaquinol;all-trans-Polyprenyl diphosphate;4-Hydroxy-3-polyprenylbenzoate;Vitamin K1 epoxide;Spirodilactone;Geranylhydroquinone;2-Phytyl-1,4-naphthoquinone;delta-Tocopherol;beta-Tocopherol;alpha-Tocotrienol;beta-Tocotrienol;gamma-Tocotrienol;delta-Tocotrienol;1,4-Dihydroxy-2-naphthoyl-CoA;2-Methyl-6-phytylquinol;2,3-Dimethyl-5-phytylquinol;2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate;Plastoquinol-9;Futalosine;Dehypoxanthine futalosine;Cyclic dehypoxanthine futalosine;1,4-Dihydroxy-6-naphthoate;Shikonin;2-Polyprenyl-6-hydroxyphenol;2-Polyprenyl-6-methoxyphenol;3,4-Dihydroxy-5-polyprenylbenzoate;3-Methoxy-4-hydroxy-5-polyprenylbenzoate;2-Methyl-6-solanyl-1,4-benzoquinol;Geranyl-hydroxybenzoate;3''-Hydroxy-geranylhydroquinone;Deoxyshikonin;Dihydroechinofuran;Dihydroshikonofuran;Demethylmenaquinol;2-Methoxy-6-all-trans-polyprenyl-1,4-benzoquinol;6-Methoxy-3-methyl-2-all-trans-polyprenyl-1,4-benzoquinol;2,3-Epoxymenaquinone;6-Geranylgeranyl-2-methylbenzene-1,4-diol;6-Geranylgeranyl-2,3-dimethylbenzene-1,4-diol;3-[(1-Carboxyvinyl)oxy]benzoate;6-Amino-6-deoxyfutalosine;Demethylphylloquinol;3-Demethylubiquinol;2-Carboxy-1,4-naphthoquinone"
"hsa00140","hsa00140","Steroid hormone biosynthesis - Homo sapiens (human)","C00187;C00280;C00410;C00468;C00523;C00535;C00674;C00735;C00762;C00951;C01124;C01176;C01227;C01780;C01953;C02140;C02373;C02537;C02538;C03205;C03681;C03747;C03772;C03852;C03917;C03935;C04042;C04295;C04373;C04518;C04555;C04676;C05138;C05139;C05140;C05141;C05284;C05285;C05290;C05291;C05293;C05294;C05295;C05296;C05297;C05298;C05299;C05300;C05301;C05302;C05469;C05470;C05471;C05472;C05473;C05474;C05475;C05476;C05477;C05478;C05479;C05480;C05481;C05482;C05483;C05484;C05485;C05487;C05488;C05489;C05490;C05497;C05498;C05499;C05500;C05501;C05502;C05503;C05504;C08357;C08358;C08359;C11131;C11132;C11133;C11134;C11135;C11136;C13712;C13713;C18038;C18039;C18040;C18041;C18042;C18043;C18044;C18045;C18075","Cholesterol;Androstenedione;Progesterone;Estrone;Androsterone;Testosterone;5alpha-Androstane-3,17-dione;Cortisol;Cortisone;Estradiol-17beta;18-Hydroxycorticosterone;17alpha-Hydroxyprogesterone;Dehydroepiandrosterone;Aldosterone;Pregnenolone;Corticosterone;4-Methylpentanal;Estradiol-17alpha;Estrone 3-sulfate;11-Deoxycorticosterone;5alpha-Pregnane-3,20-dione;11alpha-Hydroxyprogesterone;5beta-Androstane-3,17-dione;Androstan-3alpha,17beta-diol;Dihydrotestosterone;6beta-Hydroxy-17beta-estradiol;20alpha-Hydroxy-4-pregnen-3-one;Androstenediol;Etiocholanolone;17alpha,20alpha-Dihydroxypregn-4-en-3-one;Dehydroepiandrosterone sulfate;Testololactone;17alpha-Hydroxypregnenolone;16alpha-Hydroxydehydroepiandrosterone;16alpha-Hydroxyandrost-4-ene-3,17-dione;Estriol;11beta-Hydroxyandrost-4-ene-3,17-dione;Adrenosterone;19-Hydroxyandrost-4-ene-3,17-dione;7alpha-Hydroxytestosterone;5beta-Dihydrotestosterone;19-Hydroxytestosterone;19-Oxotestosterone;7alpha-Hydroxyandrost-4-ene-3,17-dione;19-Oxoandrost-4-ene-3,17-dione;2-Hydroxyestrone;2-Methoxyestrone;16alpha-Hydroxyestrone;2-Hydroxyestradiol;2-Methoxy-17beta-estradiol;17alpha,21-Dihydroxy-5beta-pregnane-3,11,20-trione;Tetrahydrocortisone;Dihydrocortisol;Urocortisol;11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al;3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al;11beta,21-Dihydroxy-5beta-pregnane-3,20-dione;Tetrahydrocorticosterone;21-Hydroxy-5beta-pregnane-3,11,20-trione;3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione;5beta-Pregnane-3,20-dione;Pregnanolone;Cortolone;Cortol;3alpha,20alpha,21-Trihydroxy-5beta-pregnan-11-one;Pregnanediol;21-Hydroxypregnenolone;17alpha,21-Dihydroxypregnenolone;11-Deoxycortisol;11beta,17alpha,21-Trihydroxypregnenolone;11-Dehydrocorticosterone;21-Deoxycortisol;11beta-Hydroxyprogesterone;17alpha,20alpha-Dihydroxycholesterol;20alpha-Hydroxycholesterol;20alpha,22beta-Dihydroxycholesterol;22(R)-Hydroxycholesterol;Estradiol-17beta 3-glucuronide;16-Glucuronide-estriol;Estradiol-17beta 3-sulfate;2-Methoxyestrone 3-sulfate;2-Methoxyestradiol-17beta 3-sulfate;2-Methoxy-estradiol-17beta 3-glucuronide;2-Methoxyestrone 3-glucuronide;Estrone glucuronide;Testosterone glucuronide;Androsterone glucuronide;Etiocholan-3alpha-ol-17-one 3-glucuronide;Allopregnanolone;Allotetrahydrodeoxycorticosterone;7alpha-Hydroxypregnenolone;Aldosterone hemiacetal;5alpha-Dihydrodeoxycorticosterone;5alpha-Pregnan-20alpha-ol-3-one;5alpha-Pregnane-3alpha,20alpha-diol;Cholesterol sulfate;3beta-Hydroxypregn-5-en-20-one sulfate;7alpha-Hydroxydehydroepiandrosterone;11beta,17beta-Dihydroxy-4-androsten-3-one"
"hsa00190","hsa00190","Oxidative phosphorylation - Homo sapiens (human)","C00001;C00002;C00003;C00004;C00007;C00008;C00009;C00013;C00042;C00061;C00080;C00122;C00390;C00399;C00524;C00536","H2O;ATP;NAD+;NADH;Oxygen;ADP;Orthophosphate;Diphosphate;Succinate;FMN;H+;Fumarate;Ubiquinol;Ubiquinone;Cytochrome c;Triphosphate"
"hsa00220","hsa00220","Arginine biosynthesis - Homo sapiens (human)","C00011;C00014;C00025;C00026;C00049;C00062;C00064;C00077;C00086;C00122;C00169;C00327;C00437;C00624;C01010;C01250;C03406;C04133;C15532;C20948;C20949;C20950;C20951","CO2;Ammonia;L-Glutamate;2-Oxoglutarate;L-Aspartate;L-Arginine;L-Glutamine;L-Ornithine;Urea;Fumarate;Carbamoyl phosphate;L-Citrulline;N-Acetylornithine;N-Acetyl-L-glutamate;Urea-1-carboxylate;N-Acetyl-L-glutamate 5-semialdehyde;N-(L-Arginino)succinate;N-Acetyl-L-glutamate 5-phosphate;N-Acetyl-L-citrulline;LysW-L-glutamate;LysW-L-glutamyl 5-phosphate;LysW-L-glutamate 5-semialdehyde;LysW-L-ornithine"
"hsa00230","hsa00230","Purine metabolism - Homo sapiens (human)","C00002;C00008;C00011;C00014;C00020;C00035;C00037;C00039;C00044;C00046;C00048;C00053;C00054;C00059;C00064;C00081;C00086;C00104;C00117;C00119;C00130;C00131;C00144;C00147;C00169;C00206;C00209;C00212;C00224;C00242;C00262;C00286;C00288;C00294;C00301;C00330;C00360;C00361;C00362;C00366;C00385;C00387;C00499;C00559;C00575;C00603;C00620;C00655;C00700;C00802;C00942;C01228;C01260;C01261;C01344;C01345;C01367;C01444;C01762;C02091;C02348;C02350;C02353;C02718;C03090;C03373;C03483;C03614;C03794;C03838;C04051;C04376;C04392;C04494;C04640;C04677;C04734;C04751;C04823;C05239;C05512;C05513;C05515;C05516;C05993;C06193;C06194;C06195;C06196;C06197;C06433;C06435;C11821;C12248;C15667;C22395;C22441;C22442;C22443;C22499;C22500","ATP;ADP;CO2;Ammonia;AMP;GDP;Glycine;DNA;GTP;RNA;Glyoxylate;3'-Phosphoadenylyl sulfate;Adenosine 3',5'-bisphosphate;Sulfate;L-Glutamine;ITP;Urea;IDP;D-Ribose 5-phosphate;5-Phospho-alpha-D-ribose 1-diphosphate;IMP;dATP;GMP;Adenine;Carbamoyl phosphate;dADP;Oxalate;Adenosine;Adenylyl sulfate;Guanine;Hypoxanthine;dGTP;HCO3-;Inosine;ADP-ribose;Deoxyguanosine;dAMP;dGDP;dGMP;Urate;Xanthine;Guanosine;Allantoate;Deoxyadenosine;3',5'-Cyclic AMP;(S)-Ureidoglycolate;alpha-D-Ribose 1-phosphate;Xanthosine 5'-phosphate;XTP;Oxalureate;3',5'-Cyclic GMP;Guanosine 3',5'-bis(diphosphate);P1,P4-Bis(5'-adenosyl)tetraphosphate;P1,P4-Bis(5'-guanosyl) tetraphosphate;dIDP;dITP;3'-AMP;Oxamate;Xanthosine;(S)-Ureidoglycine;(R)(-)-Allantoin;(S)-Allantoin;2',3'-Cyclic AMP;N-Formiminoglycine;5-Phosphoribosylamine;Aminoimidazole ribotide;Adenosine tetraphosphate;Inosine 5'-tetraphosphate;N6-(1,2-Dicarboxyethyl)-AMP;5'-Phosphoribosylglycinamide;5-Amino-4-imidazolecarboxyamide;5'-Phosphoribosyl-N-formylglycinamide;P1,P4-Bis(5'-xanthosyl) tetraphosphate;Guanosine 3'-diphosphate 5'-triphosphate;2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine;1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide;1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide;1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate;1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole;5-Aminoimidazole;Deoxyinosine;Urate-3-ribonucleoside;5-Ureido-4-imidazole carboxylate;5-Amino-4-imidazole carboxylate;Acetyl adenylate;Guanosine 3'-phosphate;2',3'-Cyclic GMP;Imidazolone;2'-Deoxyinosine 5'-phosphate;P1,P3-Bis(5'-adenosyl) triphosphate;5'-Benzoylphosphoadenosine;5'-Butyrylphosphoinosine;5-Hydroxyisourate;5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate;5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole;N6-Succino-2-amino-2'-deoxyadenylate;dZMP;dZDP;dZTP;8-Hydroxyadenine;2,8-Dihydroxyadenine"
"hsa00232","hsa00232","Caffeine metabolism - Homo sapiens (human)","C00048;C00385;C01762;C07130;C07480;C07481;C13747;C16352;C16353;C16355;C16356;C16357;C16358;C16359;C16360;C16361;C16362;C16363;C16364;C16365;C16366;C21144","Glyoxylate;Xanthine;Xanthosine;Theophylline;Theobromine;Caffeine;1,7-Dimethylxanthine;7-Methylxanthosine;7-Methylxanthine;7-Methyluric acid;1,7-Dimethyluric acid;3-Methylxanthine;1-Methylxanthine;1-Methyluric acid;3,7-Dimethyluric acid;1,3,7-Trimethyluric acid;3,6,8-Trimethylallantoin;N-Methylurea;N,N'-Dimethylurea;5-Acetylamino-6-formylamino-3-methyluracil;5-Acetylamino-6-amino-3-methyluracil;1,3,7-Trimethyl-5-hydroxyisourate"
"hsa00240","hsa00240","Pyrimidine metabolism - Homo sapiens (human)","C00015;C00039;C00046;C00055;C00063;C00064;C00075;C00086;C00099;C00105;C00106;C00112;C00119;C00169;C00178;C00214;C00222;C00239;C00295;C00299;C00337;C00363;C00364;C00365;C00380;C00383;C00429;C00438;C00458;C00459;C00460;C00475;C00526;C00672;C00705;C00813;C00881;C01013;C01103;C01168;C01205;C01346;C01368;C01563;C02067;C02170;C02354;C02355;C02376;C02642;C03997;C05281;C05822;C06198;C11038;C11039;C15607;C20231;C20249;C20253;C20254;C20846;C21028;C21029","UDP;DNA;RNA;CMP;CTP;L-Glutamine;UTP;Urea;beta-Alanine;UMP;Uracil;CDP;5-Phospho-alpha-D-ribose 1-diphosphate;Carbamoyl phosphate;Thymine;Thymidine;3-Oxopropanoate;dCMP;Orotate;Uridine;(S)-Dihydroorotate;dTDP;dTMP;dUMP;Cytosine;Malonate;5,6-Dihydrouracil;N-Carbamoyl-L-aspartate;dCTP;dTTP;dUTP;Cytidine;Deoxyuridine;2-Deoxy-D-ribose 1-phosphate;dCDP;Barbiturate;Deoxycytidine;3-Hydroxypropanoate;Orotidine 5'-phosphate;Pseudouridine 5'-phosphate;(R)-3-Amino-2-methylpropanoate;dUDP;3'-UMP;Carbamate;Pseudouridine;Methylmalonate;2',3'-Cyclic CMP;2',3'-Cyclic UMP;5-Methylcytosine;3-Ureidopropionate;5-Hydroxymethyldeoxycytidylate;5-Methylbarbiturate;3'-CMP;P1,P4-Bis(5'-uridyl) tetraphosphate;2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate;2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate;3-Oxo-3-ureidopropanoate;(Z)-3-Ureidoacrylate peracid;(Z)-3-Peroxyaminoacrylate;Aminoacrylate;Ureidoacrylate;3-Oxo-3-ureidoisobutyrate;(R)-5,6-Dihydrothymine;(R)-3-Ureidoisobutyrate"
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism - Homo sapiens (human)","C00014;C00022;C00025;C00026;C00036;C00041;C00042;C00049;C00064;C00122;C00152;C00158;C00169;C00232;C00334;C00352;C00402;C00438;C00940;C01042;C02362;C03090;C03406;C03794;C03912;C12270;C20775;C20776","Ammonia;Pyruvate;L-Glutamate;2-Oxoglutarate;Oxaloacetate;L-Alanine;Succinate;L-Aspartate;L-Glutamine;Fumarate;L-Asparagine;Citrate;Carbamoyl phosphate;Succinate semialdehyde;4-Aminobutanoate;D-Glucosamine 6-phosphate;D-Aspartate;N-Carbamoyl-L-aspartate;2-Oxoglutaramate;N-Acetyl-L-aspartate;2-Oxosuccinamate;5-Phosphoribosylamine;N-(L-Arginino)succinate;N6-(1,2-Dicarboxyethyl)-AMP;(S)-1-Pyrroline-5-carboxylate;N-Acetylaspartylglutamate;beta-Citryl-L-glutamate;N-Acetylaspartylglutamylglutamate"
"hsa00260","hsa00260","Glycine, serine and threonine metabolism - Homo sapiens (human)","C00011;C00014;C00022;C00037;C00048;C00049;C00065;C00078;C00097;C00101;C00109;C00114;C00143;C00168;C00188;C00197;C00213;C00258;C00263;C00300;C00430;C00441;C00546;C00576;C00581;C00631;C00719;C00740;C00986;C01005;C01026;C01102;C01242;C01888;C02051;C02291;C02737;C02972;C03082;C03194;C03232;C03283;C03508;C05519;C06231;C06442;C16432;C19929","CO2;Ammonia;Pyruvate;Glycine;Glyoxylate;L-Aspartate;L-Serine;L-Tryptophan;L-Cysteine;Tetrahydrofolate;2-Oxobutanoate;Choline;5,10-Methylenetetrahydrofolate;Hydroxypyruvate;L-Threonine;3-Phospho-D-glycerate;Sarcosine;D-Glycerate;L-Homoserine;Creatine;5-Aminolevulinate;L-Aspartate 4-semialdehyde;Methylglyoxal;Betaine aldehyde;Guanidinoacetate;2-Phospho-D-glycerate;Betaine;D-Serine;1,3-Diaminopropane;O-Phospho-L-serine;N,N-Dimethylglycine;O-Phospho-L-homoserine;[Protein]-S8-aminomethyldihydrolipoyllysine;Aminoacetone;Lipoylprotein;L-Cystathionine;Phosphatidylserine;Dihydrolipoylprotein;4-Phospho-L-aspartate;(R)-1-Aminopropan-2-ol;3-Phosphonooxypyruvate;L-2,4-Diaminobutanoate;L-2-Amino-3-oxobutanoic acid;L-Allothreonine;Ectoine;N(gamma)-Acetyldiaminobutyrate;5-Hydroxyectoine;N(alpha)-Acetyl-L-2,4-diaminobutyrate"
"hsa00270","hsa00270","Cysteine and methionine metabolism - Homo sapiens (human)","C00019;C00021;C00022;C00041;C00049;C00051;C00059;C00065;C00073;C00094;C00097;C00109;C00155;C00170;C00197;C00263;C00283;C00409;C00441;C00491;C00506;C00606;C00793;C00957;C00979;C01005;C01077;C01118;C01137;C01180;C01234;C01817;C01962;C02218;C02291;C02356;C02989;C03082;C03089;C03145;C03232;C03539;C04188;C04582;C05324;C05524;C05526;C05527;C05528;C05823;C05824;C06547;C08276;C09306;C11437;C11481;C11499;C11537;C15606;C15650;C15651;C18049;C19787;C21015;C21016;C22359","S-Adenosyl-L-methionine;S-Adenosyl-L-homocysteine;Pyruvate;L-Alanine;L-Aspartate;Glutathione;Sulfate;L-Serine;L-Methionine;Sulfite;L-Cysteine;2-Oxobutanoate;L-Homocysteine;5'-Methylthioadenosine;3-Phospho-D-glycerate;L-Homoserine;Hydrogen sulfide;Methanethiol;L-Aspartate 4-semialdehyde;L-Cystine;L-Cysteate;3-Sulfino-L-alanine;D-Cysteine;Mercaptopyruvate;O-Acetyl-L-serine;O-Phospho-L-serine;O-Acetyl-L-homoserine;O-Succinyl-L-homoserine;S-Adenosylmethioninamine;4-Methylthio-2-oxobutanoic acid;1-Aminocyclopropane-1-carboxylate;L-Homocystine;Thiocysteine;Dehydroalanine;L-Cystathionine;(S)-2-Aminobutanoate;L-Methionine S-oxide;4-Phospho-L-aspartate;5-Methylthio-D-ribose;N-Formylmethionine;3-Phosphonooxypyruvate;S-Ribosyl-L-homocysteine;S-Methyl-5-thio-D-ribose 1-phosphate;S-Methyl-5-thio-D-ribulose 1-phosphate;Nicotianamine;Aminoacyl-L-methionine;S-Glutathionyl-L-cysteine;3-Sulfinylpyruvate;3-Sulfopyruvate;3-Mercaptolactate;S-Sulfo-L-cysteine;Ethylene;3-(Methylthio)propanoate;Sulfur dioxide;1-Deoxy-D-xylulose 5-phosphate;HSO3-;(S)-3-Sulfolactate;(2R)-3-Sulfolactate;1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one;2,3-Diketo-5-methylthiopentyl-1-phosphate;2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate;N-Acyl-L-homoserine lactone;5'-S-Methyl-5'-thioinosine;gamma-L-Glutamyl-L-2-aminobutyrate;Ophthalmate;S-Methyl-1-thio-D-xylulose 5-phosphate"
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation - Homo sapiens (human)","C00024;C00068;C00091;C00100;C00123;C00141;C00164;C00183;C00233;C00332;C00349;C00356;C00407;C00630;C00671;C00683;C01205;C01213;C02170;C02939;C03069;C03231;C03284;C03344;C03345;C03460;C04405;C05996;C05998;C06000;C06001;C06002;C15972;C15973;C15974;C15975;C15976;C15977;C15978;C15979;C15980;C20827","Acetyl-CoA;Thiamin diphosphate;Succinyl-CoA;Propanoyl-CoA;L-Leucine;3-Methyl-2-oxobutanoic acid;Acetoacetate;L-Valine;4-Methyl-2-oxopentanoate;Acetoacetyl-CoA;2-Methyl-3-oxopropanoate;(S)-3-Hydroxy-3-methylglutaryl-CoA;L-Isoleucine;2-Methylpropanoyl-CoA;(S)-3-Methyl-2-oxopentanoic acid;(S)-Methylmalonyl-CoA;(R)-3-Amino-2-methylpropanoate;(R)-Methylmalonyl-CoA;Methylmalonate;3-Methylbutanoyl-CoA;3-Methylcrotonyl-CoA;3-Methylglutaconyl-CoA;L-3-Aminoisobutanoate;2-Methylacetoacetyl-CoA;2-Methylbut-2-enoyl-CoA;2-Methylprop-2-enoyl-CoA;(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA;Branched chain fatty acid;3-Hydroxyisovaleryl-CoA;(S)-3-Hydroxyisobutyryl-CoA;(S)-3-Hydroxyisobutyrate;(S)-Methylmalonate semialdehyde;Enzyme N6-(lipoyl)lysine;Enzyme N6-(dihydrolipoyl)lysine;3-Methyl-1-hydroxybutyl-ThPP;[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine;2-Methyl-1-hydroxypropyl-ThPP;[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine;2-Methyl-1-hydroxybutyl-ThPP;[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine;(S)-2-Methylbutanoyl-CoA;3-Hydroxyisovalerate"
"hsa00290","hsa00290","Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)","C00022;C00024;C00109;C00123;C00141;C00183;C00188;C00233;C00407;C00671;C02226;C02504;C02612;C02631;C04181;C04236;C04272;C04411;C06006;C06007;C06010;C06032;C14463","Pyruvate;Acetyl-CoA;2-Oxobutanoate;L-Leucine;3-Methyl-2-oxobutanoic acid;L-Valine;L-Threonine;4-Methyl-2-oxopentanoate;L-Isoleucine;(S)-3-Methyl-2-oxopentanoic acid;2-Methylmaleate;alpha-Isopropylmalate;(R)-2-Methylmalate;2-Isopropylmaleate;3-Hydroxy-3-methyl-2-oxobutanoic acid;(2S)-2-Isopropyl-3-oxosuccinate;(R)-2,3-Dihydroxy-3-methylbutanoate;(2R,3S)-3-Isopropylmalate;(S)-2-Aceto-2-hydroxybutanoate;(R)-2,3-Dihydroxy-3-methylpentanoate;(S)-2-Acetolactate;D-erythro-3-Methylmalate;(R)-3-Hydroxy-3-methyl-2-oxopentanoate"
